mnn,trade_name,drug_id,file_name
Ибрутиниб,Имбрувика,68ccf197-633e-458f-ae43-7df6d8ce356a,d69c841e-d91b-43d9-b716-92109a25862c.pdf
Ибрутиниб,Имбрувика,ed4afa45-4e58-4bdb-a8d4-0098adaeb994,3a5cfa18-0ffa-4377-b948-1cfeb4ad8e89.pdf
Ибрутиниб,Ибрутиниб-натив,15b5aac5-c640-4b3b-a101-d872df9407c2,ЛП-006261[2020]_0.pdf
Идарубицин,Идарубицин,68c1b4de-85f4-4072-b40c-afa011b5a95f,5712b48f-0395-4292-bab3-e954df40d262.pdf
Идарубицин,Рубида,0886f62e-3c01-413a-8325-6b6baaaed554,83e61165-4de8-4cf8-af6f-b3d81a0359db.pdf
Иксабепилон,Икземпра,7707ef02-c778-4ce0-8d38-e059eb0cd860,b5aa0564-6f00-477d-9773-6b5817c90577.pdf
Иксазомиб,Нинларо,0e440ff6-0b15-4fba-a82c-2fffa4493580,4179381e-d173-431a-b2af-0144c8c3db1f.pdf
Иматиниб,Иматиниб,9105b1e5-6376-4b98-b7d7-37a4bbcdcc84,99d667e6-cabf-41d1-b167-d59cfa5e408b.pdf
Иматиниб,ИМАТИНИБ ГРИНДЕКС,9b11bd00-4747-4bdd-bc91-e55faee9ae46,080e26d9-9a34-4e9d-9fe4-a6f19a92af2b.pdf
Иматиниб,Иматиниб,2ecdbda7-12cb-498c-bf58-082ca6c7b610,1ec3b9ba-d227-46a8-8963-777c6ed5afbd.pdf
